Time,ResponseTimeInms
09:56:49,1527
09:56:51,1247.5
09:56:53,1098.667
09:56:55,999.75
09:56:56,936
09:56:58,892.333
09:57:00,866
09:57:02,884.375
09:57:04,875.556
09:57:06,856.7
09:57:08,843.364
09:57:10,830.75
09:57:12,821.462
09:57:13,812.929
09:57:15,804.133
09:57:17,797.312
09:57:19,791
09:57:21,785
09:57:23,781.526
09:57:24,776.4
09:57:26,772.381
09:57:28,769.455
09:57:30,779.696
09:57:32,780.458
09:57:34,776.64
09:57:36,773.808
09:57:38,770.593
09:57:40,768.429
09:57:41,765.517
09:57:43,762.7
09:57:45,769.935
09:57:47,770.625
09:57:49,768.212
09:57:51,766.324
09:57:53,764.229
09:57:55,760.444
09:57:57,760.541
09:57:58,758.263
09:58:00,756.872
09:58:02,755.075
09:58:04,753.927
09:58:06,752.429
09:58:08,751.302
09:58:10,749.909
09:58:11,748.889
09:58:14,754.522
09:58:15,755.66
09:58:17,754.812
09:58:19,753.204
09:58:21,752.08
09:58:23,751.196
09:58:25,750.192
09:58:27,748.868
09:58:28,748.093
09:58:30,747.091
09:58:32,746.375
09:58:34,745.105
09:58:36,744.466
09:58:38,747.068
09:58:40,750.033
09:58:42,749.492
09:58:44,751.645
09:58:46,751
09:58:47,750.156
09:58:49,749.169
09:58:51,753.333
09:58:53,754.179
09:58:55,753.353
09:58:57,757
09:58:59,757.657
09:59:01,761.056
09:59:03,761.444
09:59:05,759.562
09:59:07,760.216
09:59:09,759.093
09:59:11,758.408
09:59:13,757.584
09:59:14,756.949
09:59:16,756.19
09:59:18,755.588
09:59:20,754.864
09:59:22,754.549
09:59:24,754.253
09:59:26,753.5
09:59:27,752.965
09:59:29,752.302
09:59:31,751.793
09:59:33,754.625
09:59:35,754.82
09:59:37,754.344
09:59:39,753.945
09:59:41,756.848
09:59:43,757.28
09:59:45,756.553
09:59:47,755.926
09:59:48,755.562
09:59:50,754.979
09:59:52,757.408
09:59:54,757.96
09:59:56,757.41
09:59:58,756.762
10:00:00,756.049
10:00:02,755.534
10:00:04,754.894
10:00:05,754.4
10:00:07,753.811
10:00:09,756.084
10:00:11,756.639
10:00:13,756.183
10:00:15,755.636
10:00:17,754.991
10:00:19,754.554
10:00:21,754.009
10:00:22,753.588
10:00:25,755.826
10:00:26,755.284
10:00:28,755.573
10:00:30,755.186
