Time,ResponseTimeInms
13:41:53,269
13:41:55,251.5
13:41:56,202
13:41:57,175.5
13:41:59,192.4
13:42:00,179
13:42:01,171.571
13:42:03,184
13:42:04,177.111
13:42:05,167.7
13:42:06,160.182
13:42:08,155.083
13:42:09,151.308
13:42:10,146.714
13:42:11,145.067
13:42:13,150.375
13:42:14,160.471
13:42:15,169.556
13:42:17,169.895
13:42:18,167.45
13:42:19,173
13:42:21,181.091
13:42:22,181.391
13:42:23,177.667
13:42:25,182.16
13:42:26,181.615
13:42:27,184.852
13:42:29,184.143
13:42:30,181.621
13:42:31,180.233
13:42:32,178.903
13:42:34,176.75
13:42:35,175.667
13:42:36,178.882
13:42:38,183.457
13:42:39,183.472
13:42:40,181.946
13:42:41,180.632
13:42:43,182.769
13:42:44,182.65
13:42:45,181.293
13:42:47,183.619
13:42:48,183.488
13:42:49,181.773
13:42:50,183.889
13:42:52,183.783
13:42:53,185.723
13:42:55,188.271
13:42:56,187.98
13:42:57,189.52
13:42:59,192.647
13:43:00,195.385
13:43:02,198
13:43:03,197.481
13:43:04,196.109
13:43:05,194.339
13:43:06,193.368
13:43:08,192.086
13:43:09,191.373
13:43:10,189.983
13:43:11,189.344
13:43:13,188.532
13:43:14,187.476
13:43:15,186.094
13:43:16,187.723
13:43:18,190.167
13:43:19,189.851
13:43:20,189.162
13:43:22,188.333
13:43:23,189.5
13:43:24,191.352
13:43:26,191.222
13:43:27,190
13:43:28,191.432
13:43:30,191.053
13:43:31,190.368
13:43:32,191.403
13:43:34,191.064
13:43:35,192.278
13:43:36,194.262
13:43:38,195.716
13:43:39,197.061
13:43:40,196.687
13:43:42,195.881
13:43:43,194.835
13:43:44,194.291
13:43:46,195.126
13:43:47,196.67
13:43:48,198.079
13:43:50,199.322
13:43:51,199.099
13:43:53,199.522
13:43:54,201.043
13:43:55,202.191
13:43:57,203.526
13:43:58,203.26
13:43:59,203.969
13:44:01,205.235
13:44:02,206.414
13:44:04,206.41
13:44:05,205.634
13:44:06,204.843
13:44:07,205.66
13:44:09,205.375
13:44:10,204.571
13:44:11,203.896
13:44:13,204.804
13:44:14,205.898
13:44:15,207.018
13:44:17,206.845
13:44:18,207.378
13:44:20,208.679
13:44:21,209.832
13:44:22,209.298
13:44:24,208.583
13:44:25,207.776
13:44:26,207.026
13:44:27,207.644
13:44:29,208.697
13:44:30,208.35
13:44:31,208.959
13:44:33,209.984
13:44:34,211.228
